@RELATION iris

@ATTRIBUTE Text STRING
@ATTRIBUTE class {0,1}

@DATA
'מלון מדהים עיצוב המלון מוקפד   לפרטים הקטנים ביותר  שירות אדיב מאוד  מיקום אידיאלי  ספא מפנק מאוד  במילה אחת  חוויה' ,1
'החדר התקבל בדקה האחרונה בסביבות 1500 למרות שההינו שם כבר ב 1200 יום אחד לא ניקו את החדר כי לא הספיקו למרות שרוב היום ההינו מחוץ לחדר  לדבר עם הלובי צריך להמתין לא מעט זמן שברקע מוזיקה מעצבנת  הינו לנו תקלה בחדר לא ממש עזר עד השיחה הרביעית  בקיצור כוונות טובות מעשים פחות' ,0
'היו כמה בעיות במלון 1 הארון היה בלתי ניתן לפתיחה מאוד מאוד קשה  היתה חסרה תאורה  לצורך איפור והתארגנות  המעליות מאוד איטיות זמן המתנה גבוה מהמקובל ופעמים רבות נאלצים לרדת או לעלות ברגל' ,0
'המעליות איטיות מאוד ובאופן כללי לא מלון שהייתי חוזר אליו' ,0
'העיצוב מושלם ונוחות החדר והמיטה מיקום מנצח ממש קרוב לדאם' ,1
'מיקום מצויין  רמת אירוח גבוהה' ,1
'הכל היה מעולה הצוות אדיב אוכל ברמה גבוהה והחדר מדהים' ,1
'מלון מצויין   מיקום מצויין   מסעדות טובות   שווה כל שקל' ,1
'אירוח ושירות  מעולים עיצוב מהמם וחדשני ספא מפנק ומסעדת בשרים מעולה בקומה השישית' ,1
'אין חימום בחדר שירותים ופשוט קפוא שם לא מומלץ' ,0
'מלון איכותי ומומלץ מכל הבחינות החל במיקום רמת השירות החדר המפנק מסעדות ספא   מומלץ מאד מאד' ,0
'מיקום מדהים צוות מקסים וחדר מעולה' ,1
'ארוחת בוקר מצויינת עדיף להכניס לדיל מראש  החדרים נהדרים ונוחים' ,1
'החדרים מעוצבים מושלם גדולים מאוד לאמסטרדם   הספא ארוחת הבוקר והצוות היו נפלאים   בהחלט נחזור' ,1
'המלון מעוצב בצורה מדהימה מודרנית ומטופחת השירות הוא מעל ומעבר והמתקנים ובמיוחד הבריכות והספא פשוט מדהימים  המקום נותן תמורה מלאה למחיר' ,1
'היה מדהים המלון מעוצב יפהייפה ומודרני השירות מצויין  יש בר במלון שעובד כל לילה  אין ספק שיחזור לשם שוב' ,1
'שירות אדיב נעים ונח  המלון נקי החדרים נקיים מאובזרים בכל טוב  המלון ממוקם במיקום מעולה  מלון מ ו ש ל ם' ,1
'החדרים קטנים  ומאד  לא  נח שהכיור  באמצע החדר   הצפייה   ממלון ברמה  כזאת קצת יותר  גבוהה' ,0
'החדר לא תמיד היה הכי נקי  הארון מאוד קטן אין חימום במקלחת   והחימום בחדר לא הכי מחמם' ,0
'מלון מדהים עיצוב המלון מוקפד   לפרטים הקטנים ביותר  שירות אדיב מאוד  מיקום אידיאלי  ספא מפנק מאוד  במילה אחת  חוויה' ,1
'צוות מחייך ונחמד אבל לא ממש עוזר  החדר התקבל בדקה האחרונה בסביבות 1500 למרות שההינו שם כבר ב 1200 יום אחד לא ניקו את החדר כי לא הספיקו למרות שרוב היום ההינו מחוץ לחדר  לדבר עם הלובי צריך להמתין לא מעט זמן שברקע מוזיקה מעצבנת  הינו לנו תקלה בחדר לא ממש עזר עד השיחה הרביעית  בקיצור כוונות טובות מעשים פחות' ,0
'העיצוב מושלם ונוחות החדר והמיטה מיקום מנצח ממש קרוב לדאם' ,1
'ארוחת בוקר יקרה ולא יעילה במיוחד אין מבחר בבופה וצריך להזמין מתפריט קצת פחות אהבנו' ,0
'בהתחלה לקחנו חדר זוגי רגיל החדר היה מצויין אבל אני ואישתי העדפנו לעבור לסוויטה והיא הייתה מדהימה  גם יקרה  סוויטה 2 קומות מצויידת בבית חכם ואייפד השולט על הכל בחדר אין מילים להוסיף למושחטים מבינכם  בגג קומה יש בר נחמד שפועל כל השבוע ובסופי שבוע  מתחיל מחמישי  נפתח בר יוקרתי חדש במרתף המלון יש סלקציה גדולה ומי שעובר אותה יהנה מאוד מאוד' ,1
'הכל היה מעולה הצוות אדיב אוכל ברמה גבוהה והחדר מדהיםמיקום מצויין  רמת אירוח גבוהה' ,1
'היו כמה בעיות במלון 1 הארון היה בלתי ניתן לפתיחה מאוד מאוד קשה  היתה חסרה תאורה  לצורך איפור והתארגנות  המעליות מאוד איטיות זמן המתנה גבוה מהמקובל ופעמים רבות נאלצים לרדת או לעלות ברגל' ,0
'המחיר בבר כמו במלון יוקרה ויחס לא נעים ולא ענייני' ,0
'חדר קטן מאוד מאוד לזוגאין מקום להניח את המזוודה אפילואין שרות קבלה זמין במהלך כל היום לרבות בלילהנוף של בניין מהחלוןיש מועדון בכניסה למלון שעובד בסופש ומרעיש עד לקומה 2 לא נחזור לשם' ,0
'מיקום מעולהחדר נקי ומסודר כל יוםמכונת קפה  יש תחנת רכבת מתחת למלוןיש מסעדות ובתי קפי ואפילו מועדוני לילה עד השעות הקטנות  שוק הפרחים מרחק 3 דק הליכהשדרת החנויות בהמשך השוק ומובילה עד לכיכר דם15 דק הליכה' ,1
'יש קורות מאוד נמוכים בחדר צריך כל הזמן לבקש שמפו קפה ומגבות ניקיון ברמה נמוכה המיטה קטנההמדרגות תלולות התאורה טעון שיפור' ,0
'מיקום מעולה מזגן מעולה  מקלחת סבבה קפה טוב   מקלחת עם מים חמים' ,1
'מלון מיוחד חדר אינטימי ונעים מיטה נוחה בטירוף מיקום מושלםלהיות בלב ההתרחשות ויחד עם זאת שקט בחדרתמורה מעולה' ,1
'לא שווה את התמורה החדר פיצי ממש קטן היינו דחוסים שם ממש לא חוויה טובה' ,0
'דר מדרגות חשוך ומסוכן אור בחדר שהפריע לשינה השירות לא אדיב והמיקום מאוד מרוחק' ,0
'אין קבלה מדרגות תלולות מאוד וחשוכות  חדר קטן מאוד אין מקום למזוודה פקידי קבלה מעצבנים ולא אדיבים' ,0
'חדר האמבטיה מופרד מחדר השינה בקירות זכוכית חסר פרטיות הארוחת בוקר עלובה ולא מגוונת תמורה סבירה למחיר אבל לא נחזור לשם' ,0
'הצוות במלון היה מקסים ואדיב ביותר הם עזרו בכל פנייה ושאלה ארוחת הבוקר הייתה מצויינת' ,1
'מזגן לא עבד והיה מזגן נייד שעשה המון רעש ובשביל להפעיל אותו היה צריך לפתוח חלון שהוסיף עוד יותר רעש מהרחוב ארוחת בוקר חמודה אבל לצערי לא וואולבת שלי לא היה מה לאכול היה רשום גם שהמלין במרכז העיר בכיכר דאםוזה לא נכון בכלל' ,0
'חדר מופרד ממקלחת עם קיר זכוכית באמצע הקיר יש פס שקוף חסר פרטיות ואין שום חסימה של רעשים מדרגות תלולות ומסוכנות כספת לא עובדת טוב ואין הוראות ברורות להפעלתה' ,0
'ארוחת בוקר עשירה ומפנקת מיקום המלון במרכז קרוב לכל האטרקציות  הצוות נהדר  בתמונה המצורפת  הנוף מהחדר' ,1
'המקום היה ממש מדהים ענה בהחלט על הציפיות קרוב בטירוף למטרו וממש רבע שעה עד כיכר דאם' ,1
'רחוק מהמרכז  לא לקחנו ארוחת בוקר כי הייתה יחסית יקרה ולא כלולה במחיר  בזמן מקלחת הרצפה נרטבת מעבר למקלחון מרוחק מהמרכז' ,0
'בפברבר עיסקי  רחוק מהעיר לא מסחר באזור המיידי שירות חדרים גרוע לא ניקו לנו את החדר כמו שצריך וכשהערנו להם הם פשוט לא התייחסו ברצינות' ,0
'כריות לא נוחות אין טלפון לקבלה ריח לא נעים בחדר כשנכסנו בהתחלה' ,0
'נזילות במקלחת ומהמזגן לא היה טלפון בחדר ארוחת בוקר יקרה 15 אירו לאדם' ,0
'מיקום נוח קרוב לתחנת מטרו מלון חדש עם עיצוב מודרני כולל מכונת אספרסו בחדר חדרים גדולים ומרווחים מקלחת מעולה' ,1
'חדר מקסים מעוצב מיוחד ועם נוף מדהים על העיר  חנייה חינם  שאטל למטרו הקרוב אם אין הסעה אז הליכה למטרו לוקחת כעשרים דק לא מעט' ,1
'עיצובו של המלון מרשים ומיד תופס את העין צוות המלון אדיב ונחמד' ,1
'המלון מפואר ומהמם ביופיו צוות מושלם מאוד אדיב' ,1
